Entity,Overall validity %,Number of triples,Subject validity %,Number of instances as a subject,Object validity %,Number of instances as a subject
Mystery_play,0,1,0,0,0,1
Theatre_director,100,63,0,0,100,63
Puppetry,26,65,0,0,26,65
Soliloquy,0,0,0,0,0,0
Kabuki,24,21,0,0,24,21
Peking_opera,27,26,25,4,27,22
Noh,40,5,0,0,40,5
Scenography,75,12,0,0,75,12
Wayang,0,0,0,0,0,0
Tragedy,51,105,0,0,51,105
Recreation,100,15,0,0,100,15
Entertainment,74,229,0,0,74,229
Game,83,54,0,0,83,54
Amusement_park,98,64,0,0,98,64
Gambling,60,115,0,0,60,115
Casino,96,67,0,0,96,67
Dice,67,3,0,0,67,3
Lottery,93,46,0,0,93,46
Roulette,0,0,0,0,0,0
Poker,55,31,0,0,55,31
Blackjack,20,5,0,0,20,5
Slot_machine,88,24,0,0,88,24
Leisure,92,37,0,0,92,37
Party,62,8,0,0,62,8
Play_(activity),100,2,0,0,100,2
Puzzle,10,58,0,0,10,58
Crossword,50,4,0,0,50,4
Sudoku,100,1,0,0,100,1
Toy,90,115,0,0,90,115
Aquarium,75,4,0,0,75,4
Zoo,90,30,0,0,90,30
Board_game,51,108,0,0,51,108
Backgammon,100,3,0,0,100,3
Chess,21,58,0,0,21,58
Checkers,67,3,0,0,67,3
Cluedo,56,9,40,5,75,4
Go_(game),50,4,0,0,50,4
Monopoly_(game),40,10,14,7,100,3
Scrabble,47,15,60,5,40,10
Pachisi,0,0,0,0,0,0
Xiangqi,0,0,0,0,0,0
Mancala,0,1,0,0,0,1
Marble_(toy),100,1,0,0,100,1
Playing_card,83,18,0,0,83,18
Video_game,65,220,0,0,65,220
Pokémon,62,84,0,0,62,84
Pong,85,13,86,7,83,6
Arcade_game,59,128,0,0,59,128
Card_game,23,65,0,0,23,65
Contract_bridge,44,32,0,0,44,32
Darts,75,16,100,4,67,12
Dominoes,50,2,0,1,100,1
Doll,86,21,0,0,86,21
Frisbee,100,2,0,0,100,2
Lego,14,14,0,0,14,14
Rubik's_Cube,100,4,0,0,100,4
Slinky,100,1,0,0,100,1
Barbie,73,15,0,3,92,12
Yo-yo,67,3,0,0,67,3
Sport,70,211,0,0,70,211
List_of_ball_games,100,50,0,0,100,50
Ball,91,11,0,0,91,11
Stadium,93,55,0,0,93,55
Swimming_pool,100,10,0,0,100,10
Olympic_Games,31,29,0,0,31,29
Paralympic_Games,33,3,0,0,33,3
Summer_Olympic_Games,0,1,0,0,0,1
Winter_Olympic_Games,100,1,0,0,100,1
Doping_in_sport,100,4,0,0,100,4
Winter_sports,91,33,0,0,91,33
Esports,68,71,100,2,67,69
American_football,56,129,100,10,52,119
National_Football_League,41,131,100,9,37,122
Super_Bowl,33,6,0,0,33,6
Australian_rules_football,16,61,100,6,7,55
Baseball,60,141,100,8,58,133
Major_League_Baseball,49,136,100,10,45,126
World_Series,20,5,0,0,20,5
Basketball,62,109,100,6,60,103
National_Basketball_Association,64,133,100,7,62,126
Cricket,70,106,100,7,68,99
Cricket_World_Cup,0,0,0,0,0,0
Curling,36,11,100,2,22,9
Floorball,100,17,100,3,100,14
Association_football,47,268,100,9,45,259
FIFA_World_Cup,60,5,0,0,60,5
Goalkeeper,0,0,0,0,0,0
